tagID;tagValue
1;metal
2;alternative
3;gothic
4;heavy_metal
5;death_metal
6;industrial
7;gothic
8;ebm
9;industrial
10;ebm
11;metal
12;aggrotech
13;chillout
14;ambient
15;downtempo
16;new_wave
17;synth_pop
18;electronic
19;80's
20;lounge
21;trip_hop
22;jazz
23;new_age
24;pop
25;80s
26;atmospheric
27;ethereal
28;deutsch
29;schlager
30;german
31;hi_nrg
32;avantgarde
33;experimental
34;minimal
35;punk
36;house
37;groove
38;cafe_del_mar
39;dance
40;gregorian_chant
41;female_vocalist
42;synth_pop
43;80s
44;glitch
45;cover
46;melancholy
47;idm
48;vu_us
49;female_vocalist
50;classical
51;clicks_and_cuts
52;databloem
53;field_recording
54;october_man_recordings
55;greece
56;sad
57;clicks'n'cuts
58;halbischt
59;drone
60;minimal
61;industrial
62;trip_hop
63;basses_frequences
64;mille_plateaux
65;folk
66;abstract
67;noise
68;glitch_hop
69;dub
70;dub
71;hip_hop
72;hard_rock
73;rock
74;synth_pop
75;psychedelic
76;progressive_metal
77;ambient
78;alternative_rock
79;alternative
80;glam
81;indie
82;metal
83;jazz
84;indie_rock
85;funk
86;ebm
87;post_rock
88;psychedelic
89;metal
90;trance
91;thrash_metal
92;dope
93;israeli
94;winter
95;autumn
96;spring
97;want
98;summer
99;sunshine
100;hip_hop
101;rap
102;hip_hop
103;rap
104;chillout
105;house
106;taraxinha
107;kizomba
108;rock_roll
109;pop_rock
110;kizomba_zouk
111;70s
112;hip_hop
113;hip_hop
114;hip_hop
115;rap
116;jam
117;kwasa
118;semba
119;angola
120;world
121;uk
122;old_school
123;new_york
124;dance
125;manguraunderground
126;zouk
127;seen_live
128;hit
129;music_idol
130;female_vocalist
131;girl_groups
132;girls
133;deutschsprachig
134;singer_songwriter
135;german
136;00s
137;pop_rock
138;hard_rock
139;j_rock
140;j_pop
141;visual_kei
142;electronic
143;classical
144;arabic
145;pop
146;jaebeom
147;top
148;gd
149;g_dragon
150;2pm
151;wonder_girls
152;jyp
153;junsu
154;2am
155;park_jaebum
156;park_jaebeom
157;jaebum
158;jaywalkers
159;anime
160;rock
161;kim_jong_kook
162;soya
163;niece
164;pop
165;good_music
166;death_cab_for_cutie
167;rnb
168;teen
169;punk
170;grunge
171;punk
172;so_cool
173;lyceum
174;russian
175;rnb
176;emo
177;nu_metal
178;emo
179;gothic
180;hard_core
181;punk
182;punk
183;christian
184;soundtrack
185;acoustic
186;emo
187;electronic
188;polish
189;industrial
190;gothic
191;instrumental
192;classic_rock
193;country
194;hard_core
195;british
196;polish
197;rap
198;rap
199;electro_pop
200;hot
201;guilty_pleasures
202;electro_pop
203;disco
204;fierce
205;urban
206;pop_rock
207;want_to_see_live
208;diva
209;legend
210;00s
211;thats_hot
212;criminal
213;80s
214;big_voice
215;icon
216;american
217;untalented
218;slut
219;whore
220;fake_boobs
221;the_hills
222;people_who_have_no_talent
223;umtalented
224;bad
225;money
226;california
227;comedy
228;catchy
229;epic
230;romantic
231;ballad
232;catchy
233;dark
234;pop_rock
235;dance
236;the_fame_monster
237;#1
238;pop
239;new_wave
240;80s
241;latin
242;pop
243;latin
244;latin
245;garage
246;pop
247;60s
248;garage_revival
249;rock
250;psychedelic
251;swing
252;mod
253;rock
254;freakbeat
255;rock
256;retro_swing
257;swing_revival
258;neo_swing
259;psychobilly
260;grave_stompers
261;punk
262;50s
263;80s
264;90s
265;ska
266;psychedelic
267;psychedelic
268;surf
269;techno
270;latin
271;60s
272;garage_surf
273;ska
274;surf_revival
275;punk
276;rock
277;mod_revival
278;urban
279;punk
280;rad
281;grind
282;spacy
283;raw
284;1st_take
285;pop_rock
286;pretty
287;romantic
288;beatsy
289;guitar
290;lesser_known_yet_streamable_artists
291;greek
292;folk
293;cypriot
294;pop
295;rock
296;indie_pop
297;pop_rock
298;alternative
299;world
300;hip_hop
301;eurovision
302;ethnic
303;x_factor
304;hip_hop
305;folk
306;male_vocalist
307;folk
308;latin
309;electronic
310;folk
311;reggae
312;folk
313;laiko
314;rap
315;asian
316;entexno
317;south_pacific
318;traditional
319;latin
320;chilean
321;french
322;pacific
323;hood
324;lady
325;ft
326;wale
327;trance
328;psycho
329;slayer
330;death
331;pain
332;atheist
334;palestine
335;pestilence
341;noize
342;idm
343;crust
344;house
345;russian
346;female_vocalist
347;gay
348;gay_icons
349;teen
350;gay_icon
351;pop
352;90s
353;girl
354;fun
355;female_vocalist
356;latin
357;dance
358;pop
359;top_artists
360;australian
361;radio_crazy
362;toxic
363;brit_pop
364;favorites
365;pwl
366;kylie_minogue
